iter	Passed	Remaining
0	132	131887
1	133	66423
2	134	44681
3	135	33712
4	136	27165
5	137	22832
6	139	19746
7	142	17725
8	144	15914
9	145	14442
10	146	13207
11	148	12196
12	149	11326
13	150	10570
14	151	9919
15	152	9373
16	154	8918
17	156	8532
18	159	8233
19	160	7857
20	161	7521
21	162	7202
22	162	6915
23	164	6675
24	165	6464
25	166	6242
26	167	6033
27	168	5839
28	171	5756
29	172	5593
30	174	5439
31	174	5291
32	175	5154
33	176	5022
34	177	4898
35	178	4792
36	180	4698
37	181	4607
38	184	4544
39	186	4466
40	187	4379
41	188	4295
42	189	4210
43	189	4126
44	190	4048
45	191	3978
46	193	3919
47	194	3859
48	196	3804
49	198	3777
50	200	3725
51	201	3665
52	201	3607
53	202	3551
54	203	3500
55	204	3449
56	205	3398
57	206	3350
58	207	3302
59	207	3255
60	208	3213
61	209	3173
62	210	3135
63	215	3152
64	216	3117
65	217	3077
66	218	3039
67	218	3001
68	219	2965
69	220	2932
70	221	2899
71	222	2866
72	223	2836
73	224	2809
74	225	2779
75	229	2792
76	231	2769
77	231	2740
78	232	2711
79	233	2682
80	233	2654
81	234	2628
82	235	2602
83	236	2577
84	237	2552
85	237	2528
86	238	2504
87	239	2480
88	240	2458
89	241	2445
90	243	2431
91	244	2411
92	245	2389
93	245	2368
94	246	2347
95	247	2326
96	247	2306
97	248	2286
98	249	2267
99	249	2249
100	250	2230
101	251	2212
102	252	2195
103	252	2179
104	253	2164
105	254	2148
106	256	2138
107	258	2134
108	259	2119
109	260	2104
110	260	2088
111	261	2073
112	262	2058
113	262	2042
114	263	2028
115	264	2014
116	264	1999
117	265	1984
118	266	1971
119	267	1958
120	267	1946
121	268	1933
122	269	1921
123	270	1913
124	272	1908
125	273	1897
126	274	1883
127	275	1874
128	275	1863
129	276	1851
130	277	1840
131	278	1828
132	278	1817
133	279	1806
134	280	1795
135	280	1784
136	281	1773
137	282	1763
138	282	1752
139	283	1742
140	284	1733
141	285	1724
142	286	1719
143	288	1712
144	288	1703
145	289	1694
146	290	1685
147	291	1675
148	291	1667
149	292	1659
150	293	1651
151	294	1642
152	295	1633
153	295	1624
154	296	1616
155	297	1608
156	298	1600
157	298	1592
158	302	1598
159	303	1592
160	303	1583
161	304	1575
162	305	1568
163	306	1561
164	307	1553
165	307	1546
166	308	1538
167	309	1530
168	309	1523
169	310	1516
170	311	1509
171	312	1502
172	312	1495
173	313	1488
174	314	1484
175	316	1480
176	317	1475
177	318	1468
178	318	1462
